time	well_pressure
1.0	3508
5.0	3450
10.0	3429
15.0	3416
20.0	3406
30.0	3394
40.0	3385
50.0	3379
60.0	3373
70.0	3368
80.0	3364
90.0	3360
100.0	3357
200.0	3338
300.0	3329
500.0	3320
750.0	3315
1000.0	3313
1500.0	3312
1750.0	3312
