Time,Concentration
0.0,-3.39092872035806e-36
0.02,6.69355819951174e-37
0.04,-1.1887159453081e-36
0.06,-3.4538402040691e-35
0.08,-5.65054621855007e-35
0.1,-1.47160886212703e-34
0.12,-1.19242412863174e-33
0.14,-4.02939276123381e-33
0.16,-1.21383116855951e-32
0.18,-2.61970614110869e-32
0.2,-3.29954752708507e-32
0.22,-5.4140514060344e-32
0.24,-2.92742767419048e-31
0.26,-1.19855602445213e-30
0.28,-3.05855684328945e-30
0.3,-5.44844003032886e-30
0.32,-9.16362145092728e-30
0.34,-2.83465946811549e-29
0.36,-1.30699799206027e-28
0.38,-5.36332738217575e-28
0.4,-1.84445862040142e-27
0.42,-5.29255027733075e-27
0.44,-1.38690106385811e-26
0.46,-3.43529744957881e-26
0.48,-8.6102173106531e-26
0.5,-2.19253680711154e-25
0.52,-5.56575885186158e-25
0.54,-1.44433080087619e-24
0.56,-3.8270788214493e-24
0.58,-1.09871018594577e-23
0.6,-3.19207851569806e-23
0.62,-1.09443933945534e-22
0.64,-3.20769014512141e-22
0.66,-7.10059990520398e-22
0.68,-1.23387817765621e-21
0.7,-9.14505371690857e-22
0.72,4.46280629668925e-21
0.74,2.91666408220733e-20
0.76,1.14803159789905e-19
0.78,3.70777815561661e-19
0.8,1.06423996253177e-18
0.82,2.81696868864272e-18
0.84,7.1545279473478e-18
0.86,1.8410925413513e-17
0.88,4.95273295308061e-17
0.9,1.48042610283166e-16
0.92,4.97214769755917e-16
0.94,1.79316600956148e-15
0.96,6.55978316669593e-15
0.98,2.34541602152698e-14
1.0,8.34218175206234e-14
1.02,3.07419364995457e-13
1.04,1.07260555306337e-12
1.06,3.542974687345e-12
1.08,1.10984807923743e-11
1.1,3.3058618865467e-11
1.12,9.3941683491509e-11
1.14,2.55627466136862e-10
1.16,6.77612396874921e-10
1.18,1.78749303112075e-09
1.2,4.50960365797917e-09
1.22,1.09204557910429e-08
1.24,2.55071328871028e-08
1.26,5.76540768500911e-08
1.28,1.26096409105225e-07
1.3,2.66308271249324e-07
1.32,5.46302725234583e-07
1.34,1.10293955861276e-06
1.36,2.16257626245563e-06
1.38,4.12967681411521e-06
1.4,7.69321403574344e-06
1.42,1.39979375208829e-05
1.44,2.49016452420403e-05
1.46,4.33510462244129e-05
1.48,7.40400870844278e-05
1.5,0.000124548380533731
1.52,0.000204862832670603
1.54,0.000346960350557391
1.56,0.000572777092243311
1.58,0.000905743331247449
1.6,0.00139805126932089
1.62,0.00206969940336141
1.64,0.00303889484246904
1.66,0.00430708462685068
1.68,0.00605219924957684
1.7,0.0082524193478995
1.72,0.0111489495524656
1.74,0.0146876365510081
1.76,0.0191505420419096
1.78,0.0244547591545944
1.8,0.0308744556871514
1.82,0.0383168606733351
1.84,0.0469813123363988
1.86,0.0567962906431291
1.88,0.0678102707316073
1.9,0.0800063879304508
1.92,0.0932556235209274
1.94,0.107593099547327
1.96,0.122747644549225
1.98,0.138766559401372
2.0,0.15591508247959
2.02,0.174066293508996
2.04,0.191406420863372
2.06,0.208783307526889
2.08,0.226139844414019
2.1,0.243343124981304
2.12,0.260323067408037
2.14,0.277047627962354
2.16,0.293483926769327
2.18,0.309603349681329
2.2,0.325386426400124
2.22,0.340823304173658
2.24,0.355911517124443
2.26,0.370651413300363
2.28,0.38503771579325
2.3,0.399064800989849
2.32,0.412729838880949
2.34,0.426037251565724
2.36,0.43899887059744
2.38,0.451634553447848
2.4,0.463966829241329
2.42,0.47602201920162
2.44,0.48782318468915
2.46,0.499391486302783
2.48,0.510740545952246
2.5,0.521875230298641
2.52,0.532794517286714
2.54,0.543495186152446
2.56,0.553973848314073
2.58,0.564227944920756
2.6,0.574254362139579
2.62,0.584046693449434
2.64,0.593595623172467
2.66,0.602894303382326
2.68,0.611938595745553
2.7,0.620725655773902
2.72,0.629253066491127
2.74,0.637518431848331
2.76,0.645519785115691
2.78,0.653254257896827
2.8,0.660718850452878
2.82,0.667910861790935
2.84,0.674829834015264
2.86,0.681474477019934
2.88,0.687816575941055
2.9,0.693884835972124
2.92,0.699695953846004
