time_hrs	Fraction_of_injected_water_produced
29.1	0.51755
29.2	0.518074
29.3	0.518597
29.4	0.519119
29.5	0.51964
29.6	0.52016
29.7	0.520678
29.8	0.521196
29.9	0.521712
30	0.522228
30.1	0.522742
30.2	0.523255
30.3	0.523767
30.4	0.524278
30.5	0.524788
30.6	0.525297
30.7	0.525804
30.8	0.526311
30.9	0.526817
31	0.527321
31.1	0.527824
31.2	0.528326
31.3	0.528827
31.4	0.529327
31.5	0.529826
31.6	0.530324
31.7	0.530821
31.8	0.531316
31.9	0.531811
32	0.532304
32.1	0.532796
32.2	0.533287
32.2	0.533777
32.3	0.533779
32.4	0.534266
32.4	0.534753
32.5	0.534756
32.6	0.53524
32.7	0.535725
32.7	0.536209
32.8	0.536212
32.9	0.536693
32.9	0.537174
33	0.537177
33.1	0.537655
33.2	0.538135
33.2	0.538613
33.3	0.538616
33.4	0.539091
33.4	0.539567
33.5	0.539569
33.6	0.540042
33.7	0.540515
33.7	0.540988
33.8	0.54099
33.9	0.54146
33.9	0.54193
34	0.541932
34.1	0.542399
34.2	0.542867
34.2	0.543333
34.3	0.543336
34.4	0.543799
34.4	0.544263
34.5	0.544266
34.6	0.544726
34.7	0.545188
34.7	0.545649
34.8	0.545652
34.9	0.546109
34.9	0.546567
35	0.546569
35.1	0.547024
35.2	0.54748
35.2	0.547935
35.3	0.547937
35.4	0.548389
35.4	0.548841
35.5	0.548843
35.6	0.549292
35.7	0.549742
35.7	0.550191
35.8	0.550193
35.9	0.550639
35.9	0.551085
36	0.551087
36.1	0.55153
36.2	0.551974
36.2	0.552417
36.3	0.552419
36.4	0.552859
36.4	0.553299
36.5	0.553301
36.6	0.553738
36.7	0.554176
36.8	0.554613
36.9	0.555049
37	0.555483
37.1	0.555917
37.2	0.556349
37.3	0.55678
37.4	0.557209
37.5	0.557638
37.6	0.558065
37.7	0.558491
37.8	0.558916
37.9	0.55934
38	0.559762
38.1	0.560184
38.2	0.560604
38.3	0.561023
38.4	0.561441
38.5	0.561857
38.6	0.562273
38.7	0.562687
38.8	0.563101
38.9	0.563513
39	0.563924
39.1	0.564333
39.2	0.564742
39.3	0.565149
39.4	0.565556
39.5	0.565961
39.6	0.566365
39.7	0.566768
39.8	0.56717
39.9	0.567571
40	0.56797
40.1	0.568369
40.2	0.568766
40.3	0.569163
40.4	0.569558
40.5	0.569952
40.6	0.570345
40.7	0.570737
40.8	0.571128
40.9	0.571518
41	0.571907
41.1	0.572295
41.2	0.572681
41.3	0.573067
41.4	0.573451
41.5	0.573835
41.6	0.574217
41.7	0.574599
41.8	0.574979
41.9	0.575358
42	0.575736
42.1	0.576113
42.2	0.576489
42.3	0.576865
42.4	0.577239
42.5	0.577612
42.6	0.577984
42.7	0.578355
42.8	0.578725
42.9	0.579094
43	0.579462
43.1	0.579829
43.2	0.580195
43.3	0.58056
43.4	0.580924
43.5	0.581287
43.6	0.58165
43.7	0.582011
43.8	0.582371
43.9	0.58273
44	0.583089
44.1	0.583446
44.2	0.583802
44.3	0.584158
44.4	0.584512
44.5	0.584866
44.6	0.585218
44.7	0.58557
44.8	0.585921
44.9	0.586271
45	0.586619
45.1	0.586967
45.2	0.587314
45.3	0.587661
45.4	0.588006
45.5	0.58835
45.6	0.588694
45.7	0.589036
45.8	0.589378
45.9	0.589719
46	0.590058
46.1	0.590397
46.2	0.590736
46.3	0.591073
46.4	0.591409
46.5	0.591745
46.6	0.592079
46.7	0.592413
46.8	0.592746
46.9	0.593078
47	0.593409
47.1	0.59374
47.2	0.594069
47.3	0.594398
47.4	0.594726
47.5	0.595053
47.6	0.595379
47.7	0.595704
47.8	0.596029
47.9	0.596353
48	0.596676
48.1	0.596998
48.2	0.597319
48.3	0.59764
48.4	0.597959
48.5	0.598278
48.6	0.598596
48.7	0.598914
48.8	0.59923
48.9	0.599546
49	0.599861
49.1	0.600175
49.2	0.600489
49.3	0.600801
49.4	0.601113
49.5	0.601424
49.6	0.601735
49.7	0.602044
49.8	0.602353
49.9	0.602661
50	0.602968
50.1	0.603275
50.2	0.603581
50.3	0.603886
50.4	0.60419
50.5	0.604494
50.6	0.604797
50.7	0.605099
50.8	0.605401
50.9	0.605701
51	0.606001
51.1	0.606301
51.2	0.606599
51.3	0.606897
51.4	0.607194
51.5	0.607491
51.6	0.607787
51.7	0.608082
51.8	0.608376
51.9	0.60867
52	0.608963
52.1	0.609255
52.2	0.609547
52.3	0.609838
52.4	0.610128
52.5	0.610418
52.6	0.610707
52.7	0.610995
52.8	0.611282
52.9	0.611569
53	0.611856
53.1	0.612141
53.2	0.612426
53.3	0.61271
53.4	0.612994
53.5	0.613277
53.6	0.613559
53.7	0.613841
53.8	0.614122
53.9	0.614402
54	0.614682
54.1	0.614961
54.2	0.61524
54.3	0.615518
54.4	0.615795
54.5	0.616071
54.6	0.616347
54.7	0.616623
54.8	0.616897
54.9	0.617171
55	0.617445
55.1	0.617718
55.2	0.61799
55.3	0.618262
55.4	0.618533
55.5	0.618803
55.6	0.619073
55.7	0.619343
55.8	0.619611
55.9	0.619879
56	0.620147
56.1	0.620414
56.2	0.62068
56.3	0.620946
56.4	0.621211
56.5	0.621476
56.6	0.62174
56.7	0.622003
56.8	0.622266
56.9	0.622528
57	0.62279
57.1	0.623051
57.2	0.623312
57.3	0.623572
57.4	0.623831
57.5	0.62409
57.6	0.624348
57.7	0.624606
57.8	0.624864
57.9	0.62512
58	0.625376
58.1	0.625632
58.2	0.625887
58.3	0.626142
58.4	0.626396
58.5	0.626649
58.6	0.626902
58.7	0.627154
58.8	0.627406
58.9	0.627658
59	0.627908
59.1	0.628159
59.2	0.628408
59.3	0.628658
59.4	0.628906
59.5	0.629155
59.6	0.629402
59.7	0.629649
59.8	0.629896
59.9	0.630142
60	0.630388
60.1	0.630633
60.2	0.630878
60.3	0.631122
60.4	0.631365
60.5	0.631609
60.6	0.631851
60.7	0.632093
60.8	0.632335
60.9	0.632576
61	0.632817
61.1	0.633057
61.2	0.633297
61.3	0.633536
61.4	0.633774
61.5	0.634013
61.6	0.63425
61.7	0.634488
61.8	0.634724
61.9	0.634961
62	0.635197
62.1	0.635432
62.2	0.635667
62.3	0.635901
62.4	0.636135
62.5	0.636369
62.6	0.636602
62.7	0.636834
62.8	0.637067
62.9	0.637298
63	0.637529
63.1	0.63776
63.2	0.637991
63.3	0.63822
63.4	0.63845
63.5	0.638679
63.6	0.638907
63.7	0.639135
63.8	0.639363
63.9	0.63959
64	0.639817
64.1	0.640043
64.2	0.640269
64.2	0.640494
64.3	0.640496
64.4	0.640719
64.4	0.640944
64.5	0.640945
64.6	0.641168
64.7	0.641392
64.7	0.641615
64.8	0.641616
64.9	0.641838
64.9	0.64206
65	0.642062
65.1	0.642282
65.2	0.642504
65.2	0.642725
65.3	0.642726
65.4	0.642946
65.4	0.643166
65.5	0.643167
65.6	0.643386
65.7	0.643606
65.7	0.643825
65.8	0.643826
65.9	0.644043
65.9	0.644261
66	0.644263
66.1	0.644479
66.2	0.644697
66.2	0.644914
66.3	0.644915
66.4	0.64513
66.4	0.645347
66.5	0.645348
66.6	0.645562
66.7	0.645778
66.7	0.645993
66.8	0.645994
66.9	0.646207
66.9	0.646422
67	0.646423
67.1	0.646635
67.2	0.646849
67.2	0.647062
67.3	0.647063
67.4	0.647274
67.4	0.647487
67.5	0.647488
67.6	0.647698
67.7	0.64791
67.7	0.648121
67.8	0.648122
67.9	0.648332
67.9	0.648542
68	0.648543
68.1	0.648752
68.2	0.648961
68.2	0.64917
68.3	0.649172
68.4	0.649379
68.4	0.649588
68.5	0.649589
68.6	0.649796
68.7	0.650003
68.7	0.65021
68.8	0.650212
68.9	0.650417
68.9	0.650624
69	0.650625
69.1	0.65083
69.2	0.651036
69.2	0.651241
69.3	0.651242
69.4	0.651446
69.4	0.651651
69.5	0.651652
69.6	0.651855
69.7	0.652059
69.7	0.652262
69.8	0.652264
69.9	0.652466
69.9	0.652668
70	0.65267
70.1	0.652871
70.2	0.653073
70.2	0.653275
70.3	0.653276
70.4	0.653476
70.4	0.653677
70.5	0.653678
70.6	0.653878
70.7	0.654078
70.7	0.654278
70.8	0.654279
70.9	0.654478
70.9	0.654677
71	0.654678
71.1	0.654876
71.2	0.655075
71.2	0.655273
71.3	0.655274
71.4	0.655471
71.4	0.655668
71.5	0.655669
71.6	0.655866
71.7	0.656062
71.7	0.656259
71.8	0.65626
71.9	0.656455
71.9	0.656651
72	0.656652
72.1	0.656846
72.2	0.657042
72.2	0.657236
72.3	0.657238
72.4	0.657431
72.4	0.657625
72.5	0.657626
72.6	0.657819
72.7	0.658012
72.7	0.658206
72.8	0.658207
72.9	0.658398
73	0.658591
73.1	0.658783
73.2	0.658975
73.3	0.659166
73.4	0.659358
73.5	0.659549
73.6	0.659739
73.7	0.659929
73.8	0.660119
73.9	0.660309
74	0.660498
74.1	0.660687
74.2	0.660876
74.3	0.661064
74.4	0.661252
74.5	0.66144
74.6	0.661627
74.7	0.661814
74.8	0.662001
74.9	0.662187
75	0.662373
75.1	0.662559
75.2	0.662745
