DATE	ELAPSED_TIME_DAYS	PROVINCE_STATE	CONFIRMED	DEATHS	RECOVERED	PEOPLE_TESTED	PEOPLE_HOSPITALIZED	INCIDENT_RATE	TESTING_RATE	HOSPITALIZATION_RATE
2020-04-12 23:59:00	0	Vermont	727	27	15.0	9841.0	34.0	119.06497150000001	1611.7171720000001	4.6767537830000006
2020-04-12 23:59:00	0	Virginia	5274	141		39985.0	751.0	66.69845192	505.6764505	14.23966629
2020-04-12 23:59:00	0	Washington	10609	562		93615.0	642.0	140.5276682	1240.031828	6.051465737000001
2020-04-12 23:59:00	0	West Virginia	593	6	83.0	16257.0	81.0	44.82244115	1228.8000439999998	13.65935919
2020-04-12 23:59:00	0	Wisconsin	3341	144		39257.0	974.0	64.56573888	758.6522632	29.15294822
2020-04-12 23:59:00	0	Wyoming	270	0	137.0	5459.0	40.0	54.29973453	1097.860188	14.81481481
2020-04-12 23:59:00	0	American Samoa	0	0		3.0		0.0	5.391707554	
2020-04-12 23:59:00	0	Northern Mariana Islands	11	2		38.0		19.947773100000003	68.9104889	
2020-04-12 23:59:00	0	Recovered	0	0	32988.0					
2020-04-12 23:59:00	0	Virgin Islands	51	1	43.0	350.0	3.0	47.54446806	326.2855651	5.882352941000001
2020-04-13 23:59:00	1	Alabama	3870	99		64636.0	457.0	79.63493333293523	1318.245181448385	12.23888591322978
2020-04-13 23:59:00	1	Alaska	277	8	85.0	7830.0	32.0	46.34052085407085	1309.9143620482844	11.552346570397113
2020-04-13 23:59:00	1	American Samoa	0	0		3.0		0.0	5.3917075537822825	
2020-04-13 23:59:00	1	Arizona	3705	122		53187.0	525.0	50.90182789082197	595.5307782951309	14.170040485829961
2020-04-13 23:59:00	1	Arkansas	1410	29	391.0	20804.0	130.0	54.46061396810462	803.5451155974812	9.21985815602837
2020-04-13 23:59:00	1	California	23338	711		190882.0	3015.0	61.035047905282056	486.83682312715933	12.59872132380594
2020-04-13 23:59:00	1	Colorado	7691	306		37534.0	1472.0	135.7200246417166	662.3476017295789	19.139253673124433
2020-04-13 23:59:00	1	Connecticut	13381	602		44309.0	1760.0	375.31340394195473	1242.7891499337925	13.152978103280773
2020-04-13 23:59:00	1	Delaware	1758	54	213.0	11820.0	201.0	180.53655711240089	1213.8464761482248	11.433447098976107
2020-04-13 23:59:00	1	Diamond Princess	49	0	0.0					
2020-04-13 23:59:00	1	District of Columbia	1955	52	507.0	10934.0	295.0	277.0106652648463	1549.2760173942859	15.089514066496164
2020-04-13 23:59:00	1	Florida	21019	499		338466.0	2833.0	579.3871934514303	1575.892283251257	2.302896300571456
2020-04-13 23:59:00	1	Georgia	13315	465		57021.0	2589.0	131.31949811985785	562.3709427181686	19.44423582425836
2020-04-13 23:59:00	1	Grand Princess	103	0	0.0					
2020-04-13 23:59:00	1	Guam	133	5	58.0	905.0	12.0	80.9844789897034	551.0598006442224	9.022556390977444
