time	well_pressure
1.0	3667
5.0	3615
10.0	3597
15.0	3585
20.0	3577
30.0	3566
40.0	3559
50.0	3552
60.0	3547
70.0	3543
80.0	3540
90.0	3536
100.0	3534
200.0	3517
300.0	3507
500.0	3495
750.0	3488
1000.0	3483
1500.0	3480
1750.0	3479
2000.0	3479
